time,sales,transactions
2022-01-01 10:00:00,341.24,3
2022-01-01 10:15:00,281.63,4
2022-01-01 10:30:00,347.14,4
2022-01-01 10:45:00,452.55,4
2022-01-01 11:00:00,699.6600000000001,6
2022-01-01 11:15:00,653.6800000000001,6
2022-01-01 11:30:00,625.62,6
2022-01-01 11:45:00,358.05,5
2022-01-01 12:00:00,775.28,8
2022-01-01 12:15:00,573.02,8
2022-01-01 12:30:00,726.39,8
2022-01-01 12:45:00,1142.22,8
2022-01-01 13:00:00,798.33,9
2022-01-01 13:15:00,922.23,10
2022-01-01 13:30:00,813.52,10
2022-01-01 13:45:00,835.58,9
2022-01-01 14:00:00,987.52,8
2022-01-01 14:15:00,708.73,8
2022-01-01 14:30:00,780.85,8
2022-01-01 14:45:00,667.88,8
2022-01-01 15:00:00,383.68999999999994,6
2022-01-01 15:15:00,528.25,5
2022-01-01 15:30:00,745.82,6
2022-01-01 15:45:00,657.4,6
2022-01-01 16:00:00,478.97999999999996,6
2022-01-01 16:15:00,624.45,6
2022-01-01 16:30:00,790.87,6
2022-01-01 16:45:00,378.5,6
2022-01-01 17:00:00,873.51,7
2022-01-01 17:15:00,944.94,8
2022-01-01 17:30:00,1083.09,8
2022-01-01 17:45:00,781.51,7
2022-01-01 18:00:00,1256.11,10
2022-01-01 18:15:00,1108.33,10
2022-01-01 18:30:00,1137.34,10
2022-01-01 18:45:00,1035.07,9
2022-01-01 19:00:00,1021.8,12
2022-01-01 19:15:00,1500.67,12
2022-01-01 19:30:00,1454.36,11
2022-01-01 19:45:00,1125.9,12
2022-01-01 20:00:00,1354.97,12
2022-01-01 20:15:00,1309.27,12
2022-01-01 20:30:00,1074.94,11
2022-01-01 20:45:00,990.63,12
2022-01-01 21:00:00,718.51,8
2022-01-01 21:15:00,468.53,8
2022-01-01 21:30:00,831.02,7
2022-01-01 21:45:00,868.39,8
2022-01-01 22:00:00,397.22,4
2022-01-01 22:15:00,459.28,4
2022-01-01 22:30:00,535.22,4
2022-01-01 22:45:00,294.46,4
2022-01-01 23:00:00,346.71999999999997,4
2022-01-01 23:15:00,470.48,4
2022-01-01 23:30:00,641.02,4
2022-01-01 23:45:00,407.90999999999997,4
2022-01-02 00:00:00,69.37,1
2022-01-02 00:15:00,0.0,0
2022-01-02 00:30:00,0.0,0
2022-01-02 00:45:00,0.0,0
2022-01-02 01:00:00,0.0,0
2022-01-02 01:15:00,0.0,0
2022-01-02 01:30:00,0.0,0
2022-01-02 01:45:00,0.0,0
2022-01-02 02:00:00,0.0,0
2022-01-02 02:15:00,0.0,0
2022-01-02 02:30:00,0.0,0
2022-01-02 02:45:00,0.0,0
2022-01-02 03:00:00,0.0,0
2022-01-02 03:15:00,0.0,0
2022-01-02 03:30:00,0.0,0
2022-01-02 03:45:00,0.0,0
2022-01-02 04:00:00,0.0,0
2022-01-02 04:15:00,0.0,0
2022-01-02 04:30:00,0.0,0
2022-01-02 04:45:00,0.0,0
2022-01-02 05:00:00,0.0,0
2022-01-02 05:15:00,0.0,0
2022-01-02 05:30:00,0.0,0
2022-01-02 05:45:00,0.0,0
2022-01-02 06:00:00,0.0,0
2022-01-02 06:15:00,0.0,0
2022-01-02 06:30:00,0.0,0
2022-01-02 06:45:00,0.0,0
2022-01-02 07:00:00,0.0,0
2022-01-02 07:15:00,0.0,0
2022-01-02 07:30:00,0.0,0
2022-01-02 07:45:00,0.0,0
2022-01-02 08:00:00,0.0,0
2022-01-02 08:15:00,0.0,0
2022-01-02 08:30:00,0.0,0
2022-01-02 08:45:00,0.0,0
2022-01-02 09:00:00,0.0,0
2022-01-02 09:15:00,0.0,0
2022-01-02 09:30:00,0.0,0
2022-01-02 09:45:00,0.0,0
2022-01-02 10:00:00,103.16,2
2022-01-02 10:15:00,421.27,4
2022-01-02 10:30:00,273.44,2
2022-01-02 10:45:00,168.41,3
